Image ID,Resolution Category,Size (KB),Time Taken (ms),TrialNum,Method,Filters
6,720p,198,13.90,9,WASM,SepiaTone
6,720p,198,7.40,10,JS,SepiaTone
6,720p,198,14.10,10,WASM,SepiaTone
7,720p,142,8.20,1,JS,SepiaTone
7,720p,142,19.20,1,WASM,SepiaTone
7,720p,142,8.30,2,JS,SepiaTone
7,720p,142,14.60,2,WASM,SepiaTone
7,720p,142,9.90,3,JS,SepiaTone
7,720p,142,17.50,3,WASM,SepiaTone
7,720p,142,8.60,4,JS,SepiaTone
7,720p,142,15.70,4,WASM,SepiaTone
7,720p,142,13.40,5,JS,SepiaTone
7,720p,142,16.80,5,WASM,SepiaTone
7,720p,142,9.50,6,JS,SepiaTone
7,720p,142,32.50,6,WASM,SepiaTone
7,720p,142,6.70,7,JS,SepiaTone
7,720p,142,27.40,7,WASM,SepiaTone
7,720p,142,6.20,8,JS,SepiaTone
7,720p,142,25.90,8,WASM,SepiaTone
7,720p,142,7.90,9,JS,SepiaTone
7,720p,142,16.20,9,WASM,SepiaTone
7,720p,142,7.60,10,JS,SepiaTone
7,720p,142,16.20,10,WASM,SepiaTone
8,720p,151,7.20,1,JS,SepiaTone
8,720p,151,15.10,1,WASM,SepiaTone
8,720p,151,14.60,2,JS,SepiaTone
8,720p,151,13.80,2,WASM,SepiaTone
8,720p,151,10.70,3,JS,SepiaTone
8,720p,151,17.10,3,WASM,SepiaTone
8,720p,151,6.80,4,JS,SepiaTone
8,720p,151,14.50,4,WASM,SepiaTone
8,720p,151,6.80,5,JS,SepiaTone
8,720p,151,19.30,5,WASM,SepiaTone
8,720p,151,7.90,6,JS,SepiaTone
8,720p,151,15.60,6,WASM,SepiaTone
8,720p,151,8.60,7,JS,SepiaTone
8,720p,151,15.10,7,WASM,SepiaTone
8,720p,151,8.00,8,JS,SepiaTone
8,720p,151,28.90,8,WASM,SepiaTone
8,720p,151,7.00,9,JS,SepiaTone
8,720p,151,14.10,9,WASM,SepiaTone
8,720p,151,6.90,10,JS,SepiaTone
8,720p,151,15.90,10,WASM,SepiaTone
9,720p,154,10.30,1,JS,SepiaTone
9,720p,154,15.20,1,WASM,SepiaTone
9,720p,154,7.50,2,JS,SepiaTone
9,720p,154,14.60,2,WASM,SepiaTone
9,720p,154,7.40,3,JS,SepiaTone
9,720p,154,14.20,3,WASM,SepiaTone
9,720p,154,7.50,4,JS,SepiaTone
9,720p,154,13.40,4,WASM,SepiaTone
9,720p,154,8.20,5,JS,SepiaTone
9,720p,154,14.30,5,WASM,SepiaTone
9,720p,154,7.90,6,JS,SepiaTone
9,720p,154,16.20,6,WASM,SepiaTone
9,720p,154,8.50,7,JS,SepiaTone
9,720p,154,15.00,7,WASM,SepiaTone
9,720p,154,14.70,8,JS,SepiaTone
9,720p,154,14.30,8,WASM,SepiaTone
9,720p,154,14.90,9,JS,SepiaTone
9,720p,154,15.00,9,WASM,SepiaTone
9,720p,154,15.50,10,JS,SepiaTone
9,720p,154,15.00,10,WASM,SepiaTone
10,720p,179,7.00,1,JS,SepiaTone
