Image ID,Resolution Category,Size (KB),Time Taken (ms),TrialNum,Method,Filters
6,720p,198,202.00,7,JS,GaussianBlur
6,720p,198,65.90,7,WASM,GaussianBlur
6,720p,198,186.30,8,JS,GaussianBlur
6,720p,198,64.50,8,WASM,GaussianBlur
6,720p,198,191.70,9,JS,GaussianBlur
6,720p,198,63.50,9,WASM,GaussianBlur
6,720p,198,202.00,10,JS,GaussianBlur
6,720p,198,65.10,10,WASM,GaussianBlur
7,720p,142,207.50,1,JS,GaussianBlur
7,720p,142,65.80,1,WASM,GaussianBlur
7,720p,142,188.00,2,JS,GaussianBlur
7,720p,142,63.00,2,WASM,GaussianBlur
7,720p,142,195.50,3,JS,GaussianBlur
7,720p,142,66.20,3,WASM,GaussianBlur
7,720p,142,200.20,4,JS,GaussianBlur
7,720p,142,62.40,4,WASM,GaussianBlur
7,720p,142,186.10,5,JS,GaussianBlur
7,720p,142,64.90,5,WASM,GaussianBlur
7,720p,142,200.00,6,JS,GaussianBlur
7,720p,142,63.70,6,WASM,GaussianBlur
7,720p,142,188.70,7,JS,GaussianBlur
7,720p,142,64.00,7,WASM,GaussianBlur
7,720p,142,190.60,8,JS,GaussianBlur
7,720p,142,68.70,8,WASM,GaussianBlur
7,720p,142,194.20,9,JS,GaussianBlur
7,720p,142,62.60,9,WASM,GaussianBlur
7,720p,142,206.00,10,JS,GaussianBlur
7,720p,142,64.30,10,WASM,GaussianBlur
8,720p,151,192.80,1,JS,GaussianBlur
8,720p,151,65.50,1,WASM,GaussianBlur
8,720p,151,199.40,2,JS,GaussianBlur
8,720p,151,64.50,2,WASM,GaussianBlur
8,720p,151,203.40,3,JS,GaussianBlur
8,720p,151,65.80,3,WASM,GaussianBlur
8,720p,151,240.10,4,JS,GaussianBlur
8,720p,151,67.40,4,WASM,GaussianBlur
8,720p,151,193.10,5,JS,GaussianBlur
8,720p,151,72.10,5,WASM,GaussianBlur
8,720p,151,228.90,6,JS,GaussianBlur
8,720p,151,66.60,6,WASM,GaussianBlur
8,720p,151,207.30,7,JS,GaussianBlur
8,720p,151,65.60,7,WASM,GaussianBlur
8,720p,151,194.90,8,JS,GaussianBlur
8,720p,151,65.60,8,WASM,GaussianBlur
8,720p,151,186.90,9,JS,GaussianBlur
8,720p,151,63.30,9,WASM,GaussianBlur
